  Z(cm)          B(V/cm)        Bz(0,0)        By(0,Y1)       Bx(0,y1)      By(x1,0)        Bx(x1,0)       Bx(x2,y2)         Bz(x2,y2)     By(x2,y2)
  14.98000       3.651088       3.651088      -1.143004       0.000000       0.000000      -1.143004     -0.3773547     -0.3687792     -0.3773547    
  15.10000       3.748332       3.748332      -1.156368       0.000000       0.000000      -1.156368     -0.3796676     -0.3755929     -0.3796676    
  15.22000       3.848434       3.848434      -1.169849       0.000000       0.000000      -1.169849     -0.3819643     -0.3818719     -0.3819643    
  15.34000       3.951978       3.951978      -1.183463       0.000000       0.000000      -1.183463     -0.3842501     -0.3886578     -0.3842501    
  15.46000       4.058648       4.058648      -1.197183       0.000000       0.000000      -1.197183     -0.3865329     -0.3952348     -0.3865329    
  15.58000       4.168541       4.168541      -1.211011       0.000000       0.000000      -1.211011     -0.3887966     -0.4024681     -0.3887966    
  15.70000       4.281752       4.281752      -1.224943       0.000000       0.000000      -1.224943     -0.3910512     -0.4085719     -0.3910512    
  15.82000       4.398440       4.398440      -1.238970       0.000000       0.000000      -1.238970     -0.3932948     -0.4158862     -0.3932948    
  15.94000       4.519309       4.519309      -1.253103       0.000000       0.000000      -1.253103     -0.3955209     -0.4232661     -0.3955209    
  16.06000       4.643934       4.643934      -1.267323       0.000000       0.000000      -1.267323     -0.3977311     -0.4299246     -0.3977311    
  16.18000       4.772475       4.772475      -1.281624       0.000000       0.000000      -1.281624     -0.3999232     -0.4381711     -0.3999232    
  16.30000       4.905091       4.905091      -1.296007       0.000000       0.000000      -1.296007     -0.4020964     -0.4447725     -0.4020964    
  16.42000       5.041945       5.041945      -1.310455       0.000000       0.000000      -1.310455     -0.4042443     -0.4529670     -0.4042443    
  16.54000       5.183845       5.183845      -1.324976       0.000000       0.000000      -1.324976     -0.4063771     -0.4600993     -0.4063771    
  16.66000       5.330349       5.330349      -1.339557       0.000000       0.000000      -1.339557     -0.4084826     -0.4674872     -0.4084826    
  16.78000       5.481653       5.481653      -1.354187       0.000000       0.000000      -1.354187     -0.4105619     -0.4754818     -0.4105619    
  16.90000       5.637927       5.637927      -1.368865       0.000000       0.000000      -1.368865     -0.4126182     -0.4823067     -0.4126182    
  17.02000       5.799387       5.799387      -1.383572       0.000000       0.000000      -1.383572     -0.4146398     -0.4911216     -0.4146398    
  17.14000       5.967042       5.967042      -1.398322       0.000000       0.000000      -1.398322     -0.4166377     -0.4980526     -0.4166377    
  17.26000       6.140338       6.140338      -1.413091       0.000000       0.000000      -1.413091     -0.4185968     -0.5064569     -0.4185968    
  17.38000       6.319536       6.319536      -1.427866       0.000000       0.000000      -1.427866     -0.4205309     -0.5148360     -0.4205309    
  17.50000       6.504853       6.504853      -1.442642       0.000000       0.000000      -1.442642     -0.4224304     -0.5233759     -0.4224304    
  17.62000       6.696546       6.696546      -1.457411       0.000000       0.000000      -1.457411     -0.4242904     -0.5319323     -0.4242904    
  17.74000       6.895879       6.895879      -1.472168       0.000000       0.000000      -1.472168     -0.4261184     -0.5398514     -0.4261184    
  17.86000       7.102178       7.102178      -1.486898       0.000000       0.000000      -1.486898     -0.4279076     -0.5484135     -0.4279076    
  17.98000       7.315769       7.315769      -1.501586       0.000000       0.000000      -1.501586     -0.4296506     -0.5570499     -0.4296506    
  18.10000       7.536930       7.536930      -1.516224       0.000000       0.000000      -1.516224     -0.4313592     -0.5647574     -0.4313592    
  18.22000       7.765990       7.765990      -1.530806       0.000000       0.000000      -1.530806     -0.4330230     -0.5757239     -0.4330230    
  18.34000       8.004523       8.004523      -1.545313       0.000000       0.000000      -1.545313     -0.4346307     -0.5828595     -0.4346307    
  18.46000       8.251706       8.251706      -1.559735       0.000000       0.000000      -1.559735     -0.4361987     -0.5921882     -0.4361987    
  18.58000       8.507951       8.507951      -1.574051       0.000000       0.000000      -1.574051     -0.4377198     -0.6016003     -0.4377198    
  18.70000       8.773617       8.773617      -1.588265       0.000000       0.000000      -1.588265     -0.4391924     -0.6107815     -0.4391924    
  18.82000       9.049121       9.049121      -1.602360       0.000000       0.000000      -1.602360     -0.4406245     -0.6191928     -0.4406245    
  18.94000       9.336442       9.336442      -1.616285       0.000000       0.000000      -1.616285     -0.4419855     -0.6286089     -0.4419855    
  19.06000       9.634567       9.634567      -1.630072       0.000000       0.000000      -1.630072     -0.4433059     -0.6376515     -0.4433059    
  19.18000       9.944022       9.944022      -1.643684       0.000000       0.000000      -1.643684     -0.4445649     -0.6473741     -0.4445649    
  19.30000       10.26526       10.26526      -1.657119       0.000000       0.000000      -1.657119     -0.4457656     -0.6564094     -0.4457656    
  19.42000       10.59883       10.59883      -1.670365       0.000000       0.000000      -1.670365     -0.4469155     -0.6667667     -0.4469155    
  19.54000       10.94721       10.94721      -1.683348       0.000000       0.000000      -1.683348     -0.4480050     -0.6757432     -0.4480050    
  19.66000       11.30917       11.30917      -1.696110       0.000000       0.000000      -1.696110     -0.4490288     -0.6860442     -0.4490288    
  19.78000       11.68535       11.68535      -1.708625       0.000000       0.000000      -1.708625     -0.4499992     -0.6958397     -0.4499992    
  19.90000       12.07637       12.07637      -1.720877       0.000000       0.000000      -1.720877     -0.4509065     -0.7051291     -0.4509065    
  20.02000       12.48290       12.48290      -1.732854       0.000000       0.000000      -1.732854     -0.4517648     -0.7161695     -0.4517648    
  20.14000       12.90812       12.90812      -1.744475       0.000000       0.000000      -1.744475     -0.4525298     -0.7254455     -0.4525298    
  20.26000       13.35045       13.35045      -1.755782       0.000000       0.000000      -1.755782     -0.4532321     -0.7360152     -0.4532321    
  20.38000       13.81075       13.81075      -1.766746       0.000000       0.000000      -1.766746     -0.4538718     -0.7465661     -0.4538718    
  20.50000       14.28980       14.28980      -1.777359       0.000000       0.000000      -1.777359     -0.4544596     -0.7558110     -0.4544596    
  20.62000       14.78848       14.78848      -1.787614       0.000000       0.000000      -1.787614     -0.4549620     -0.7666324     -0.4549620    
  20.74000       15.31080       15.31080      -1.797379       0.000000       0.000000      -1.797379     -0.4554090     -0.7766738     -0.4554090    
  20.86000       15.85480       15.85480      -1.806752       0.000000       0.000000      -1.806752     -0.4557825     -0.7880055     -0.4557825    
  20.98000       16.42159       16.42159      -1.815684       0.000000       0.000000      -1.815684     -0.4560852     -0.7983771     -0.4560852    
  21.10000       17.01216       17.01216      -1.824161       0.000000       0.000000      -1.824161     -0.4563061     -0.8092319     -0.4563061    
  21.22000       17.62762       17.62762      -1.832172       0.000000       0.000000      -1.832172     -0.4564638     -0.8193073     -0.4564638    
  21.34000       18.27311       18.27311      -1.839588       0.000000       0.000000      -1.839588     -0.4565528     -0.8309879     -0.4565528    
  21.46000       18.94614       18.94614      -1.846503       0.000000       0.000000      -1.846503     -0.4565625     -0.8418934     -0.4565625    
  21.58000       19.64812       19.64812      -1.852878       0.000000       0.000000      -1.852878     -0.4565098     -0.8526048     -0.4565098    
  21.70000       20.38033       20.38033      -1.858693       0.000000       0.000000      -1.858693     -0.4563784     -0.8636791     -0.4563784    
  21.82000       21.14417       21.14417      -1.863930       0.000000       0.000000      -1.863930     -0.4561688     -0.8758126     -0.4561688    
  21.94000       21.94620       21.94620      -1.868479       0.000000       0.000000      -1.868479     -0.4559037     -0.8858371     -0.4559037    
  22.06000       22.78323       22.78323      -1.872406       0.000000       0.000000      -1.872406     -0.4555598     -0.8977201     -0.4555598    
  22.18000       23.65705       23.65705      -1.875695       0.000000       0.000000      -1.875695     -0.4551444     -0.9088615     -0.4551444    
  22.30000       24.56929       24.56929      -1.878330       0.000000       0.000000      -1.878330     -0.4546658     -0.9209660     -0.4546658    
  22.42000       25.52171       25.52171      -1.880293       0.000000       0.000000      -1.880293     -0.4540994     -0.9319823     -0.4540994    
  22.54000       26.52262       26.52262      -1.881443       0.000000       0.000000      -1.881443     -0.4534959     -0.9442269     -0.4534959    
  22.66000       27.56793       27.56793      -1.881891       0.000000       0.000000      -1.881891     -0.4528068     -0.9564548     -0.4528068    
  22.78000       28.65988       28.65988      -1.881602       0.000000       0.000000      -1.881602     -0.4520589     -0.9688212     -0.4520589    
  22.90000       29.80049       29.80049      -1.880560       0.000000       0.000000      -1.880560     -0.4512449     -0.9808761     -0.4512449    
  23.02000       30.99195       30.99195      -1.878769       0.000000       0.000000      -1.878769     -0.4503582     -0.9928474     -0.4503582    
  23.14000       32.24467       32.24467      -1.876064       0.000000       0.000000      -1.876064     -0.4494417      -1.004740     -0.4494417    
  23.26000       33.55344       33.55344      -1.872584       0.000000       0.000000      -1.872584     -0.4484448      -1.017770     -0.4484448    
  23.38000       34.92091       34.92091      -1.868290       0.000000       0.000000      -1.868290     -0.4474030      -1.030949     -0.4474030    
  23.50000       36.34968       36.34968      -1.863189       0.000000       0.000000      -1.863189     -0.4463166      -1.044053     -0.4463166    
  23.62000       37.84223       37.84223      -1.857242       0.000000       0.000000      -1.857242     -0.4451955      -1.055697     -0.4451955    
  23.74000       39.41133       39.41133      -1.850365       0.000000       0.000000      -1.850365     -0.4440044      -1.068785     -0.4440044    
  23.86000       41.05056       41.05056      -1.842628       0.000000       0.000000      -1.842628     -0.4428011      -1.082730     -0.4428011    
  23.98000       42.76272       42.76272      -1.834040       0.000000       0.000000      -1.834040     -0.4415615      -1.097137     -0.4415615    
  24.10000       44.55100       44.55100      -1.824605       0.000000       0.000000      -1.824605     -0.4402928      -1.109970     -0.4402928    
  24.22000       46.41814       46.41814      -1.814305       0.000000       0.000000      -1.814305     -0.4390176      -1.124825     -0.4390176    
  24.34000       48.37960       48.37960      -1.803025       0.000000       0.000000      -1.803025     -0.4377261      -1.137886     -0.4377261    
  24.46000       50.42713       50.42713      -1.790890       0.000000       0.000000      -1.790890     -0.4364317      -1.152360     -0.4364317    
  24.58000       52.56366       52.56366      -1.777898       0.000000       0.000000      -1.777898     -0.4351565      -1.166947     -0.4351565    
  24.70000       54.79264       54.79264      -1.764056       0.000000       0.000000      -1.764056     -0.4339108      -1.182474     -0.4339108    
  24.82000       57.11722       57.11722      -1.749362       0.000000       0.000000      -1.749362     -0.4326936      -1.196898     -0.4326936    
  24.94000       59.55484       59.55484      -1.733725       0.000000       0.000000      -1.733725     -0.4315397      -1.213724     -0.4315397    
  25.06000       62.09544       62.09544      -1.717260       0.000000       0.000000      -1.717260     -0.4304487      -1.229399     -0.4304487    
  25.18000       64.74165       64.74165      -1.699996       0.000000       0.000000      -1.699996     -0.4294561      -1.245319     -0.4294561    
  25.30000       67.49677       67.49677      -1.681917       0.000000       0.000000      -1.681917     -0.4285562      -1.262270     -0.4285562    
  25.42000       70.36379       70.36379      -1.663067       0.000000       0.000000      -1.663067     -0.4277920      -1.278969     -0.4277920    
  25.54000       73.36190       73.36190      -1.643330       0.000000       0.000000      -1.643330     -0.4272204      -1.298468     -0.4272204    
  25.66000       76.47829       76.47829      -1.622892       0.000000       0.000000      -1.622892     -0.4268558      -1.316412     -0.4268558    
  25.78000       79.71492       79.71492      -1.601733       0.000000       0.000000      -1.601733     -0.4267233      -1.335786     -0.4267233    
