R Z Br Bz
0.000000000000000000e+00 -9.199999999999999845e-02 0.000000000000000000e+00 1.796016166729330898e-01
0.000000000000000000e+00 -9.099999999999999756e-02 0.000000000000000000e+00 1.844894142202516407e-01
0.000000000000000000e+00 -8.999999999999999667e-02 0.000000000000000000e+00 1.895099476720472076e-01
0.000000000000000000e+00 -8.899999999999999578e-02 0.000000000000000000e+00 1.946662290736296541e-01
0.000000000000000000e+00 -8.799999999999999489e-02 0.000000000000000000e+00 1.999614526016900151e-01
0.000000000000000000e+00 -8.699999999999999400e-02 0.000000000000000000e+00 2.053988579687272553e-01
0.000000000000000000e+00 -8.599999999999999312e-02 0.000000000000000000e+00 2.109816848869780215e-01
0.000000000000000000e+00 -8.499999999999999223e-02 0.000000000000000000e+00 2.167131730693816205e-01
0.000000000000000000e+00 -8.399999999999999134e-02 0.000000000000000000e+00 2.225965622288871848e-01
0.000000000000000000e+00 -8.299999999999999045e-02 0.000000000000000000e+00 2.286350007477908897e-01
0.000000000000000000e+00 -8.199999999999998956e-02 0.000000000000000000e+00 2.348312717089198753e-01
0.000000000000000000e+00 -8.099999999999998868e-02 0.000000000000000000e+00 2.411880668644513226e-01
0.000000000000000000e+00 -7.999999999999998779e-02 0.000000000000000000e+00 2.477080779670650656e-01
0.000000000000000000e+00 -7.899999999999998690e-02 0.000000000000000000e+00 2.543939967696666193e-01
0.000000000000000000e+00 -7.799999999999998601e-02 0.000000000000000000e+00 2.612485150267451206e-01
0.000000000000000000e+00 -7.699999999999998512e-02 0.000000000000000000e+00 2.682742514941067746e-01
0.000000000000000000e+00 -7.599999999999998423e-02 0.000000000000000000e+00 2.754735329609096506e-01
0.000000000000000000e+00 -7.499999999999998335e-02 0.000000000000000000e+00 2.828486132166915246e-01
0.000000000000000000e+00 -7.399999999999998246e-02 0.000000000000000000e+00 2.904017460519379701e-01
0.000000000000000000e+00 -7.299999999999998157e-02 0.000000000000000000e+00 2.981351852601216712e-01
0.000000000000000000e+00 -7.199999999999998068e-02 0.000000000000000000e+00 3.060511846358355270e-01
0.000000000000000000e+00 -7.099999999999997979e-02 0.000000000000000000e+00 3.141516742804340567e-01
0.000000000000000000e+00 -6.999999999999997891e-02 0.000000000000000000e+00 3.224372896060065385e-01
0.000000000000000000e+00 -6.899999999999997802e-02 0.000000000000000000e+00 3.309083423345469677e-01
0.000000000000000000e+00 -6.799999999999997713e-02 0.000000000000000000e+00 3.395651441872155063e-01
0.000000000000000000e+00 -6.699999999999997624e-02 0.000000000000000000e+00 3.484080068872880687e-01
0.000000000000000000e+00 -6.599999999999997535e-02 0.000000000000000000e+00 3.574372421654897214e-01
0.000000000000000000e+00 -6.499999999999997446e-02 0.000000000000000000e+00 3.666527227074814488e-01
0.000000000000000000e+00 -6.400000000000000133e-02 0.000000000000000000e+00 3.760525651639324285e-01
0.000000000000000000e+00 -6.300000000000000044e-02 0.000000000000000000e+00 3.856344471433361121e-01
0.000000000000000000e+00 -6.199999999999999956e-02 0.000000000000000000e+00 3.953960462565813683e-01
0.000000000000000000e+00 -6.099999999999999867e-02 0.000000000000000000e+00 4.053350401195004449e-01
0.000000000000000000e+00 -5.999999999999999778e-02 0.000000000000000000e+00 4.154491063557136932e-01
0.000000000000000000e+00 -5.899999999999999689e-02 0.000000000000000000e+00 4.257351743828665658e-01
0.000000000000000000e+00 -5.799999999999999600e-02 0.000000000000000000e+00 4.361871810227949120e-01
0.000000000000000000e+00 -5.699999999999999512e-02 0.000000000000000000e+00 4.467983148914684843e-01
0.000000000000000000e+00 -5.599999999999999423e-02 0.000000000000000000e+00 4.575617646123451010e-01
0.000000000000000000e+00 -5.499999999999999334e-02 0.000000000000000000e+00 4.684707188134391576e-01
0.000000000000000000e+00 -5.399999999999999245e-02 0.000000000000000000e+00 4.795183661313984214e-01
0.000000000000000000e+00 -5.299999999999999156e-02 0.000000000000000000e+00 4.906970849594282646e-01
0.000000000000000000e+00 -5.199999999999999067e-02 0.000000000000000000e+00 5.019960129759403200e-01
0.000000000000000000e+00 -5.099999999999998979e-02 0.000000000000000000e+00 5.134034776140786738e-01
0.000000000000000000e+00 -4.999999999999998890e-02 0.000000000000000000e+00 5.249078063166451313e-01
0.000000000000000000e+00 -4.899999999999998801e-02 0.000000000000000000e+00 5.364973265302249716e-01
0.000000000000000000e+00 -4.799999999999998712e-02 0.000000000000000000e+00 5.481603657104237026e-01
